Animal,PI
BeneficialInsects,1
BeneficialInsects,5
BeneficialInsects,0
BeneficialInsects,1
BeneficialInsects,2
BeneficialInsects,2
BeneficialInsects,2
BeneficialInsects,0
BeneficialInsects,6
BeneficialInsects,1
BeneficialInsects,9
BeneficialInsects,0
BeneficialInsects,2
BeneficialInsects,0
BeneficialInsects,0
BeneficialInsects,0
BeneficialInsects,0
BeneficialInsects,0
BeneficialInsects,0
BeneficialInsects,1
BeneficialInsects,0
BeneficialInsects,0
BeneficialInsects,2
BeneficialInsects,0
BeneficialInsects,0
Cats,6
Cats,5
Cats,8
Cats,15
Cats,11
Cats,7
Cats,7
Cats,7
Cats,9
Cats,5
Cats,6
Cats,2
Cats,0
Cats,3
Cats,0
Cats,3
Cats,1
Cats,5
Cats,1
Cats,6
Cats,1
Cats,1
Cats,2
Cats,2
Cats,1
Dogs,7
Dogs,7
Dogs,7
Dogs,7
Dogs,5
Dogs,5
Dogs,4
Dogs,6
Dogs,13
Dogs,11
Dogs,10
Dogs,2
Dogs,9
Dogs,7
Dogs,3
Dogs,2
Dogs,5
Dogs,6
Dogs,6
Dogs,2
Dogs,4
Dogs,4
Dogs,6
Dogs,3
Dogs,1
Livestock,2
Livestock,1
Livestock,0
Livestock,1
Livestock,1
Livestock,0
Livestock,0
Livestock,0
Livestock,1
Livestock,1
Livestock,0
Livestock,0
Livestock,0
Livestock,0
Livestock,0
Livestock,0
Livestock,1
Livestock,1
Livestock,0
Livestock,0
Livestock,1
Livestock,1
Livestock,0
Livestock,0
Livestock,0
BirdsofPrey,14
BirdsofPrey,9
BirdsofPrey,14
BirdsofPrey,15
BirdsofPrey,14
BirdsofPrey,10
BirdsofPrey,17
BirdsofPrey,13
BirdsofPrey,19
BirdsofPrey,13
BirdsofPrey,28
BirdsofPrey,27
BirdsofPrey,19
BirdsofPrey,22
BirdsofPrey,26
BirdsofPrey,16
BirdsofPrey,31
BirdsofPrey,32
BirdsofPrey,14
BirdsofPrey,22
BirdsofPrey,30
BirdsofPrey,13
BirdsofPrey,8
BirdsofPrey,7
BirdsofPrey,2
OtherBirds,7
OtherBirds,3
OtherBirds,5
OtherBirds,5
OtherBirds,3
OtherBirds,4
OtherBirds,0
OtherBirds,7
OtherBirds,3
OtherBirds,2
OtherBirds,4
OtherBirds,4
OtherBirds,6
OtherBirds,3
OtherBirds,5
OtherBirds,3
OtherBirds,6
OtherBirds,1
OtherBirds,1
OtherBirds,7
OtherBirds,2
OtherBirds,2
OtherBirds,2
OtherBirds,1
OtherBirds,1
Mammals,3
Mammals,3
Mammals,3
Mammals,4
Mammals,4
Mammals,4
Mammals,1
Mammals,2
Mammals,2
Mammals,5
Mammals,0
Mammals,1
Mammals,1
Mammals,1
Mammals,1
Mammals,4
Mammals,4
Mammals,3
Mammals,0
Mammals,1
Mammals,3
Mammals,2
Mammals,0
Mammals,1
Mammals,1
